"H2"||"H"||2||33|||147|||||0|0|0|0|0|3|95|100|100|92.5|100|100|55|90|100|27|68|80||45|||4|||5.7|||7.8|||14.1|||13.4|||28.5||||||||18|26.5|35||||0|0|0||||1.35|1.5|1.6|||||1.71|||0.42|8|14|0.1|0.14|0.18|||||30.4|||15.9|||41||3|4.5|5.9|23|31|38|6|10|14|0|5|11|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.6|8.8|3.4|5|6.6|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120802:1082485"|"120802:2925694"
"H3"||"H"||3||147|||191|||||0|0|0|0|0|8|95|100|100|92.5|100|100|55|85|100|27|45|80||55.8|||1.3|||8.2|||14.8|||20.2|||11.3|||17.7||||||||18|26.5|35||||0|0|0||||1.3|1.4|1.5|||||1.46|||4|9|14|0.12|0.16|0.2|||||24|||15.6|||45||0|1.5|2.9|23|31|38|6|10|14|0|1|11|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.8|8.8|3.4|5.1|6.6|1|2.4|4.4|3.6|4.8|6|||||||||||||||||||||||||||||||||"120802:1082485"|"120802:2925695"
"H1"||"H"||1||0|||33|||||0|0|0|0|0|5|95|100|100|92.5|100|100|55|78|95|27|48|75||70.9|||0.1|||3.3|||16.1|||34|||17.4|||16.6||||||||7|12.5|18||||0.5|1.25|2||||1.3|1.35|1.4|||||1.41|||14|28|42|0.1|0.14|0.17|||||18.9|||9.2|||46||0|1.5|2.9|13|18|23|0|3|6|0|0|2|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|2.9|5.9|9|2.2|4.5|6.8|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120803:1082488"|"120803:2925702"
"H2"||"H"||2||33|||147|||||0|0|0|0|0|3|95|100|100|92.5|100|100|55|90|100|27|68|80||45|||4|||5.7|||7.8|||14.1|||13.4|||28.5||||||||18|26.5|35||||0|0|0||||1.35|1.5|1.6|||||1.71|||0.42|8|14|0.1|0.14|0.18|||||30.4|||15.9|||41||3|4.5|5.9|23|31|38|6|10|14|0|5|11|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.6|8.8|3.4|5|6.6|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120803:1082488"|"120803:2925703"
"H3"||"H"||3||147|||191|||||0|0|0|0|0|8|95|100|100|92.5|100|100|55|85|100|27|45|80||55.8|||1.3|||8.2|||14.8|||20.2|||11.3|||17.7||||||||18|26.5|35||||0|0|0||||1.3|1.4|1.5|||||1.46|||4|9|14|0.12|0.16|0.2|||||24|||15.6|||45||0|1.5|2.9|23|31|38|6|10|14|0|1|11|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.8|8.8|3.4|5.1|6.6|1|2.4|4.4|3.6|4.8|6|||||||||||||||||||||||||||||||||"120803:1082488"|"120803:2925704"
"H1"||"H"||1||0|||86|||||0|0|0|0|0|0|100|100|100|100|100|100|70|95|100|40|80|95||30.9|||2.6|||3.6|||5.1|||9.7|||9.9|||56.6||||||||7|12.5|35||||3|5|8||||1.3|1.4|1.55|||||1.46|||14|28|42|0.2|0.23|0.26|||||28.8|||13.6|||43||0|1.5|2.9|13|18|38|0|3|14|0|0|14|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|8.5|10.1|26.8|6.4|7.5|20.1|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120803:1574753"|"120803:5556285"
"H2"||"H"||2||86|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|50|78|90|5|48|55||52|||4.3|||4.8|||11.1|||18.6|||13.2|||35.5||||||||0|12.5|30||||0|0|0||||1.45|1.55|1.65|||||1.62|||42|92|141|0.06|0.09|0.12|||||18.4|||8.7|||39||0|1.5|2.9|7|18|34|0|3|12|0|0|4|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|0|3.2|7.5|0|2.4|5.6|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120803:1574753"|"120803:5556286"
"H1"||"H"||1||0|||33|||||0|0|0|0|0|5|95|100|100|92.5|100|100|55|78|95|27|48|75||70.9|||0.1|||3.3|||16.1|||34|||17.4|||16.6||||||||7|12.5|18||||0.5|1.25|2||||1.3|1.35|1.4|||||1.41|||14|28|42|0.1|0.14|0.17|||||18.9|||9.2|||46||0|1.5|2.9|13|18|23|0|3|6|0|0|2|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|2.9|5.9|9|2.2|4.5|6.8|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120804:1082490"|"120804:2925711"
"H2"||"H"||2||33|||147|||||0|0|0|0|0|3|95|100|100|92.5|100|100|55|90|100|27|68|80||45|||4|||5.7|||7.8|||14.1|||13.4|||28.5||||||||18|26.5|35||||0|0|0||||1.35|1.5|1.6|||||1.71|||0.42|8|14|0.1|0.14|0.18|||||30.4|||15.9|||41||3|4.5|5.9|23|31|38|6|10|14|0|5|11|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.6|8.8|3.4|5|6.6|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120804:1082490"|"120804:2925712"
"H3"||"H"||3||147|||191|||||0|0|0|0|0|8|95|100|100|92.5|100|100|55|85|100|27|45|80||55.8|||1.3|||8.2|||14.8|||20.2|||11.3|||17.7||||||||18|26.5|35||||0|0|0||||1.3|1.4|1.5|||||1.46|||4|9|14|0.12|0.16|0.2|||||24|||15.6|||45||0|1.5|2.9|23|31|38|6|10|14|0|1|11|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.8|8.8|3.4|5.1|6.6|1|2.4|4.4|3.6|4.8|6|||||||||||||||||||||||||||||||||"120804:1082490"|"120804:2925713"
"H1"||"H"||1||0|||86|||||0|0|0|0|0|0|100|100|100|100|100|100|70|95|100|40|80|95||30.9|||2.6|||3.6|||5.1|||9.7|||9.9|||56.6||||||||7|12.5|35||||3|5|8||||1.3|1.4|1.55|||||1.46|||14|28|42|0.2|0.23|0.26|||||28.8|||13.6|||43||0|1.5|2.9|13|18|38|0|3|14|0|0|14|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|8.5|10.1|26.8|6.4|7.5|20.1|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120804:1574755"|"120804:5556296"
"H2"||"H"||2||86|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|50|78|90|5|48|55||52|||4.3|||4.8|||11.1|||18.6|||13.2|||35.5||||||||0|12.5|30||||0|0|0||||1.45|1.55|1.65|||||1.62|||42|92|141|0.06|0.09|0.12|||||18.4|||8.7|||39||0|1.5|2.9|7|18|34|0|3|12|0|0|4|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|0|3.2|7.5|0|2.4|5.6|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120804:1574755"|"120804:5556297"
"H1"||"H"||1||0|||33|||||0|0|0|0|0|5|95|100|100|92.5|100|100|55|78|95|27|48|75||70.9|||0.1|||3.3|||16.1|||34|||17.4|||16.6||||||||7|12.5|18||||0.5|1.25|2||||1.3|1.35|1.4|||||1.41|||14|28|42|0.1|0.14|0.17|||||18.9|||9.2|||46||0|1.5|2.9|13|18|23|0|3|6|0|0|2|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|2.9|5.9|9|2.2|4.5|6.8|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120805:1082492"|"120805:2925720"
"H2"||"H"||2||33|||147|||||0|0|0|0|0|3|95|100|100|92.5|100|100|55|90|100|27|68|80||45|||4|||5.7|||7.8|||14.1|||13.4|||28.5||||||||18|26.5|35||||0|0|0||||1.35|1.5|1.6|||||1.71|||0.42|8|14|0.1|0.14|0.18|||||30.4|||15.9|||41||3|4.5|5.9|23|31|38|6|10|14|0|5|11|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.6|8.8|3.4|5|6.6|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120805:1082492"|"120805:2925721"
"H3"||"H"||3||147|||191|||||0|0|0|0|0|8|95|100|100|92.5|100|100|55|85|100|27|45|80||55.8|||1.3|||8.2|||14.8|||20.2|||11.3|||17.7||||||||18|26.5|35||||0|0|0||||1.3|1.4|1.5|||||1.46|||4|9|14|0.12|0.16|0.2|||||24|||15.6|||45||0|1.5|2.9|23|31|38|6|10|14|0|1|11|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.8|8.8|3.4|5.1|6.6|1|2.4|4.4|3.6|4.8|6|||||||||||||||||||||||||||||||||"120805:1082492"|"120805:2925722"
"H1"||"H"||1||0|||86|||||0|0|0|0|0|0|100|100|100|100|100|100|70|95|100|40|80|95||30.9|||2.6|||3.6|||5.1|||9.7|||9.9|||56.6||||||||7|12.5|35||||3|5|8||||1.3|1.4|1.55|||||1.46|||14|28|42|0.2|0.23|0.26|||||28.8|||13.6|||43||0|1.5|2.9|13|18|38|0|3|14|0|0|14|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|8.5|10.1|26.8|6.4|7.5|20.1|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120805:1574757"|"120805:5556307"
"H2"||"H"||2||86|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|50|78|90|5|48|55||52|||4.3|||4.8|||11.1|||18.6|||13.2|||35.5||||||||0|12.5|30||||0|0|0||||1.45|1.55|1.65|||||1.62|||42|92|141|0.06|0.09|0.12|||||18.4|||8.7|||39||0|1.5|2.9|7|18|34|0|3|12|0|0|4|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|0|3.2|7.5|0|2.4|5.6|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120805:1574757"|"120805:5556308"
"H1"||"H"||1||0|||33|||||0|0|0|0|0|3|100|100|100|100|100|100|70|78|95|40|48|75||70.5|||0.1|||3.3|||16|||33.8|||17.3|||16.5||||||||5|13|20||||0.5|1.25|2||||1.3|1.38|1.45|||||1.44|||14|28|42|0.1|0.12|0.14|||||19.3|||9.7|||45||0|1.5|2.9|12|19|25|0|4|7|0|0|3|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|2.4|6.1|9.5|1.8|4.6|7.1|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"120806:1082519"|"120806:2925687"
"H2"||"H"||2||33|||198|||||0|0|0|0|0|2|100|100|100|100|100|100|90|95|100|70|75|95||40|||3.6|||5|||6.9|||12.5|||12|||30||||||||12|30|40||||0|0|0||||1.3|1.38|1.45|||||1.44|||4|9|14|0.1|0.14|0.18|||||31.3|||17.4|||46||0|1.5|2.9|18|28|38|3|9|14|0|5|14|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|3|6|8.8|2.2|4.5|6.6|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"120806:1082519"|"120806:2925688"
"H1"||"H"||1||0|||18|||||0|0|0|0|0|0|97.5|100|100|95|100|100|70|95|100|40|80|90||30.1|||2.5|||3.5|||5|||9.4|||9.7|||54.9||||||||10|15|20||||1|3|6||||1.2|1.3|1.4|||||1.36|||4|9|14|0.11|0.14|0.16|||||27.1|||11.5|||47||0|1.5|2.9|16|20|25|2|4|7|0|0|4|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|4.8|10.5|18.5|3.6|7.9|13.9|1|2.4|4.4|3.6|4.8|6|||||||||||||||||||||||||||||||||"120806:1574780"|"120806:5556384"
"H2"||"H"||2||18|||165|||||0|0|0|0|0|0|100|100|100|98|100|100|83|95|100|44|75|95||31.1|||2.7|||3.2|||6|||10.6|||8.6|||30.9||||||||30|38|50||||0|0.5|1||||1.3|1.4|1.5|||||1.6|||0.01|2|4|0.14|0.16|0.18|||||34.6|||22.9|||45||3|4.5|5.9|34|41|52|12|16|22|2|11|25|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|7.5|10.6|14.8|5.6|8|11.1|1|2.4|4.4|3.6|4.8|6|||||||||||||||||||||||||||||||||"120806:1574780"|"120806:5556385"
"H1"||"H"||1||0|||86|||||0|0|0|0|0|0|100|100|100|100|100|100|70|95|100|40|80|95||30.9|||2.6|||3.6|||5.1|||9.7|||9.9|||56.6||||||||7|12.5|35||||3|5|8||||1.3|1.4|1.55|||||1.46|||14|28|42|0.2|0.23|0.26|||||28.8|||13.6|||43||0|1.5|2.9|13|18|38|0|3|14|0|0|14|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|8.5|10.1|26.8|6.4|7.5|20.1|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120807:1082018"|"120807:2923053"
"H2"||"H"||2||86|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|50|78|90|5|48|55||52|||4.3|||4.8|||11.1|||18.6|||13.2|||35.5||||||||0|12.5|30||||0|0|0||||1.45|1.55|1.65|||||1.62|||42|92|141|0.06|0.09|0.12|||||18.4|||8.7|||39||0|1.5|2.9|7|18|34|0|3|12|0|0|4|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|0|3.2|7.5|0|2.4|5.6|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120807:1082018"|"120807:2923054"
"H1"||"H"||1||0|||36|||||0|0|0|0|0|0|100|100|100|100|100|100|60|90|100|30|58|90||62.7|||0|||0.1|||2.2|||24.2|||36.2|||23.3||||||||8|14|20||||4|6|8||||1.2|1.3|1.4|||||1.36|||4|9|14|0.08|0.12|0.15|||||24|||15.7|||46||0|1.5|2.9|14|20|25|1|4|7|0|0|4|".24"|".24"|0|0|0|0|0|0|0|0|0|4|4|8|11|17|23|8.3|12.8|17.3|1|2.4|4.4|6.1|7.3|8.4|||||||||||||||||||||||||||||||||"120807:1574688"|"120807:5555952"
"H2"||"H"||2||36|||178|||||0|0|0|0|0|0|100|100|100|100|100|100|60|78|95|30|48|75||67.5|||0.3|||4.7|||15|||29.3|||18.2|||21||||||||8|11.5|15||||0|0|0||||1.3|1.4|1.5|||||1.46|||4|9|14|0.08|0.12|0.15|||||17|||7.2|||45||0|1.5|2.9|14|17|20|1|3|4|0|0|0|".10"|".10"|0|0|0|0|0|0|0|0|0|4|4|8|2|3|3.8|1.5|2.2|2.8|1|2.4|4.4|6.1|7.3|8.4|||||||||||||||||||||||||||||||||"120807:1574688"|"120807:5555953"
"H1"||"H"||1||0|||43|||||0|0|0|0|0|0|100|100|100|95|100|100|70|78|85|28|48|55||69.3|||0.3|||4.8|||15.4|||30.1|||18.7|||21.7||||||||4|9|14||||1|2|3||||1.2|1.28|1.35|||||1.34|||14|28|42|0.08|0.12|0.16|||||17.4|||7.6|||48||0|1.5|2.9|11|15|20|0|2|4|0|0|0|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|3.2|6.8|10.2|2.4|5.1|7.7|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"120807:1574697"|"120807:5555980"
"H2"||"H"||2||43|||91|||||0|0|0|0|0|0|100|100|100|95|100|100|57|78|85|28|48|55||70.5|||0.1|||3.3|||16|||33.8|||17.3|||16.5||||||||8|13|18||||0|0|0||||1.2|1.28|1.35|||||1.34|||4|9|14|0.08|0.13|0.18|||||17.2|||7.5|||49||0|1.5|2.9|14|19|23|1|4|6|0|0|0|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|2|3.2|4.5|1.5|2.4|3.4|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"120807:1574697"|"120807:5555981"
"H3"||"H"||3||91|||152|||||0|0|0|0|0|0|85|100|100|80|100|100|50|78|85|5|37|45||78.6|||0|||1.9|||12.8|||39|||24.9|||16.4||||||||1|5|8||||0|0|0||||1.35|1.45|1.55|||||1.52|||14|78|141|0.04|0.06|0.08||17.7|||11.8|||3.3|||43||0|1.5|2.9|8|12|14|0|0|1|0|0|0|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|0.1|1.2|2|0.1|0.9|1.5|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"120807:1574697"|"120807:5555982"
"H1"||"H"||1||0|||20|||||0|0|0|0|0|0|98|100|100|95|100|100|66|78|95|38|48|75||70.9|||0.1|||3.3|||16.1|||34|||17.4|||16.6||||||||8|12.5|20||||1|2|3||||1.3|1.45|1.6|||||1.52|||14|28|42|0.1|0.13|0.15|||||20.4|||10.9|||42||0|1.5|2.9|14|18|25|1|3|7|0|0|3|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|4.2|7.8|11.8|3.2|5.8|8.8|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"120807:1574730"|"120807:5556145"
"H2"||"H"||2||20|||127|||||0|0|0|0|0|0|98|100|100|95|100|100|66|85|100|38|45|80||55.8|||1.3|||8.2|||14.8|||20.2|||11.3|||17.7||||||||18|26.5|35||||0|0|0||||1.3|1.4|1.5|||||1.46|||4|9|14|0.12|0.15|0.18|||||24|||15.6|||45||0|1.5|2.9|23|31|38|6|10|14|0|1|11|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.8|8.8|3.4|5.1|6.6|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"120807:1574730"|"120807:5556146"
"H3"||"H"||3||127|||173|||||0|0|0|0|0|0|98|100|100|95|100|100|66|78|95|38|48|75||68.8|||0.1|||3.2|||15.6|||33|||16.9|||16.2||||||||12|15|35||||0|0|0||||1.3|1.45|1.6|||||1.52|||1.4|8|14|0.12|0.15|0.18|||||19.4|||9.8|||43||0|1.5|2.9|18|20|38|3|4|14|0|0|10|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|3|3.8|8.8|2.2|2.8|6.6|1|2.4|4.4|3.6|4.8|6|||||||||||||||||||||||||||||||||"120807:1574730"|"120807:5556147"
"H1"||"H"||1||0|||15||||||0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||20|40|60||||0.15|0.28|0.4||||||||4|23|42|0.02|0.04|0.06|||||||||||||0|0|0|7|7|7|0|0|0|0|0|0|".28"|".28"|0|0|0|0|0|0|40|50|55|8|8|32|45|90|135|33.4|67.5|101.3|1|2.4|4.4|6.1|7.3|8.4|||||||||||||||||||||||||||||||||"120807:1574742"|"120807:5556221"
"H2"||"H"||2||15|||203|||||0|0|0|0|0|0|100|100|100|98|100|100|83|97.5|100|44|90|95||5.5|||0.2|||0.3|||0.6|||1.7|||2.7|||47||||||||35|47.5|60||||5|9|16||||1.3|1.45|1.6|||||1.8|||0.01|0.2|0.42|0.02|0.04|0.06|||||37.7|||36.6|||39||6|7.5|8.9|38|50|61|14|21|27|2|22|31|".24"|".24"|0|0|0|0|0|0|45|50|55|8|8|32|20|32.2|51|15|24.1|38.3|1|2.4|4.4|6.1|7.3|8.4|||||||||||||||||||||||||||||||||"120807:1574742"|"120807:5556222"
"H1"||"H"||1||0|||46|||||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|90|92.5|95||5.5|||0.2|||0.3|||0.6|||1.7|||2.7|||47||||||||35|47.5|60||||5|7.5|10||||0.5|0.8|1.1|||||0.99|||0.42|1|1.4|0.16|0.19|0.22|||||31.5|||23.5|||64||6|7.5|8.9|38|50|61|14|21|27|13|22|31|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|20|28.8|37.5|15|21.6|28.1|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"120807:1574772"|"120807:5556358"
"H2"||"H"||2||46|||203|||||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|95||5.5|||0.2|||0.3|||0.6|||1.7|||2.7|||47||||||||35|47.5|60||||1|2|3||||0.5|0.8|1.1|||||0.99|||0.42|1|1.4|0.16|0.19|0.22|||||29.6|||20.2|||66||6|7.5|8.9|38|50|61|14|21|27|12|22|31|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|11|16.5|21.8|8.2|12.4|16.3|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"120807:1574772"|"120807:5556359"
"H1"||"H"||1||0|||36|||||0|0|0|0|0|3|90|100|100|85|100|100|51|78|85|26|48|55||68.5|||0.3|||4.7|||15.2|||29.8|||18.5|||21.5||||||||5|10|15||||0.5|1.25|2||||1.3|1.35|1.4|||||1.41|||14|28|42|0.08|0.11|0.14|||||17.4|||7.7|||46||0|1.5|2.9|12|16|20|0|2|4|0|0|0|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|2.4|5.3|8.2|1.8|4|6.2|1|2.4|4.4|4.5|5.3|6|||||||||||||||||||||||||||||||||"120808:1082475"|"120808:2925502"
"H2"||"H"||2||36|||140|||||0|0|0|0|0|3|90|100|100|85|100|100|51|85|90|26|45|55||57|||1.3|||8.4|||15.1|||20.7|||11.5|||18||||||||12|25|35||||0|0|0||||1.3|1.38|1.45|||||1.44|||14|28|42|0.12|0.15|0.18|||||23.2|||14.5|||46||0|1.5|2.9|18|30|38|3|10|14|0|1|5|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|3|6.2|8.8|2.2|4.7|6.6|1|2.4|4.4|4.5|5.3|6|||||||||||||||||||||||||||||||||"120808:1082475"|"120808:2925503"
"H3"||"H"||3||140|||173|||||0|0|0|0|0|8|85|100|100|80|100|100|40|78|95|12|48|60||71.3|||0.1|||3.3|||16.2|||34.2|||17.5|||16.7||||||||2|12|20||||0|0|0||||1.35|1.5|1.65|||||1.57|||4|9|14|0.12|0.15|0.18|||||17.8|||8.1|||41||0|1.5|2.9|9|18|25|0|3|7|0|0|1|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|0.3|3|5|0.2|2.2|3.8|1|2.4|4.4|4.5|5.3|6|||||||||||||||||||||||||||||||||"120808:1082475"|"120808:2925504"
"H1"||"H"||1||0|||36|||||0|0|0|0|0|3|90|100|100|85|100|100|51|78|85|26|48|55||68.5|||0.3|||4.7|||15.2|||29.8|||18.5|||21.5||||||||5|10|15||||0.5|1.25|2||||1.3|1.35|1.4|||||1.41|||14|28|42|0.08|0.11|0.14|||||17.4|||7.7|||46||0|1.5|2.9|12|16|20|0|2|4|0|0|0|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|2.4|5.3|8.2|1.8|4|6.2|1|2.4|4.4|4.5|5.3|6|||||||||||||||||||||||||||||||||"120809:1082476"|"120809:2925739"
"H2"||"H"||2||36|||140|||||0|0|0|0|0|3|90|100|100|85|100|100|51|85|90|26|45|55||57|||1.3|||8.4|||15.1|||20.7|||11.5|||18||||||||12|25|35||||0|0|0||||1.3|1.38|1.45|||||1.44|||14|28|42|0.12|0.15|0.18|||||23.2|||14.5|||46||0|1.5|2.9|18|30|38|3|10|14|0|1|5|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|3|6.2|8.8|2.2|4.7|6.6|1|2.4|4.4|4.5|5.3|6|||||||||||||||||||||||||||||||||"120809:1082476"|"120809:2925740"
"H3"||"H"||3||140|||173|||||0|0|0|0|0|8|85|100|100|80|100|100|40|78|95|12|48|60||71.3|||0.1|||3.3|||16.2|||34.2|||17.5|||16.7||||||||2|12|20||||0|0|0||||1.35|1.5|1.65|||||1.57|||4|9|14|0.12|0.15|0.18|||||17.8|||8.1|||41||0|1.5|2.9|9|18|25|0|3|7|0|0|1|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|0.3|3|5|0.2|2.2|3.8|1|2.4|4.4|4.5|5.3|6|||||||||||||||||||||||||||||||||"120809:1082476"|"120809:2925741"
"H1"||"H"||1||0|||33|||||0|0|0|0|0|5|95|100|100|92.5|100|100|55|78|95|27|48|75||70.9|||0.1|||3.3|||16.1|||34|||17.4|||16.6||||||||7|12.5|18||||0.5|1.25|2||||1.3|1.35|1.4|||||1.41|||14|28|42|0.1|0.14|0.17|||||18.9|||9.2|||46||0|1.5|2.9|13|18|23|0|3|6|0|0|2|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|2.9|5.9|9|2.2|4.5|6.8|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120809:1082495"|"120809:2925729"
"H2"||"H"||2||33|||147|||||0|0|0|0|0|3|95|100|100|92.5|100|100|55|90|100|27|68|80||45|||4|||5.7|||7.8|||14.1|||13.4|||28.5||||||||18|26.5|35||||0|0|0||||1.35|1.5|1.6|||||1.71|||0.42|8|14|0.1|0.14|0.18|||||30.4|||15.9|||41||3|4.5|5.9|23|31|38|6|10|14|0|5|11|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.6|8.8|3.4|5|6.6|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"120809:1082495"|"120809:2925730"
"H3"||"H"||3||147|||191|||||0|0|0|0|0|8|95|100|100|92.5|100|100|55|85|100|27|45|80||55.8|||1.3|||8.2|||14.8|||20.2|||11.3|||17.7||||||||18|26.5|35||||0|0|0||||1.3|1.4|1.5|||||1.46|||4|9|14|0.12|0.16|0.2|||||24|||15.6|||45||0|1.5|2.9|23|31|38|6|10|14|0|1|11|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.8|8.8|3.4|5.1|6.6|1|2.4|4.4|3.6|4.8|6|||||||||||||||||||||||||||||||||"120809:1082495"|"120809:2925731"
"H1"||"H"||1||0|||43|||||0|0|0|0|0|0|90|100|100|85|100|100|51|90|95|26|58|75||70.9|||0.1|||3.3|||16.1|||34|||17.4|||16.6||||||||5|12.5|24||||0.5|1.25|2||||1.4|1.55|1.7|||||1.62|||14|28|42|0.1|0.13|0.15|||||20.1|||10.5|||39||0|1.5|2.9|12|18|29|0|3|9|0|0|5|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|2.4|6.1|10.5|1.8|4.6|7.9|1|2.4|4.4|4.5|5.3|6|||||||||||||||||||||||||||||||||"120810:1082006"|"120810:2923023"
"H2"||"H"||2||43|||142|||||0|0|0|0|0|0|95|100|100|92.5|98|100|74|84|100|32|44|80||55.1|||1.3|||8.1|||14.6|||20|||11.1|||17.4||||||||20|27.5|35||||0|0|0||||1.35|1.48|1.6|||||1.55|||4|9|14|0.12|0.15|0.18|||||24.7|||16.9|||41||0|1.5|2.9|25|32|38|7|11|14|0|1|11|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|5|7|8.8|3.8|5.2|6.5|1|2.4|4.4|4.5|5.3|6|||||||||||||||||||||||||||||||||"120810:1082006"|"120810:2923024"
"H3"||"H"||3||142|||178|||||0|0|0|0|0|0|80|100|100|77.5|100|100|40|65|90|11|35|55||65.9|||4.3|||14.1|||17.5|||19.6|||10.4|||19.1||||||||5|15|30||||0|0|0||||1.3|1.4|1.5|||||1.46|||4|9|14|0.12|0.15|0.18|||||18.5|||8.8|||45||0|1.5|2.9|12|20|34|0|4|12|0|0|4|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|1.2|3.8|7.5|0.9|2.8|5.6|1|2.4|4.4|4.5|5.3|6|||||||||||||||||||||||||||||||||"120810:1082006"|"120810:2923025"
